|12345
1|2345
12|345
123|45
1234|5
12345|
1|2354
12|354
123|54
1235|4
1|2435
12|435
124|35
1243|5
1|2453
12|453
124|53
1245|3
1|2534
12|534
125|34
1253|4
1|2543
12|543
125|43
1254|3
1|3245
13|245
132|45
1324|5
1|3254
13|254
132|54
1325|4
1|3425
13|425
134|25
1342|5
1|3452
13|452
134|52
1345|2
1|3524
13|524
135|24
1352|4
1|3542
13|542
135|42
1354|2
1|4235
14|235
142|35
1423|5
1|4253
14|253
142|53
1425|3
1|4325
14|325
143|25
1432|5
1|4352
14|352
143|52
1435|2
1|4523
14|523
145|23
1452|3
1|4532
14|532
145|32
1453|2
1|5234
15|234
152|34
1523|4
1|5243
15|243
152|43
1524|3
1|5324
15|324
153|24
1532|4
1|5342
15|342
153|42
1534|2
1|5423
15|423
154|23
1542|3
1|5432
15|432
154|32
1543|2
2|1345
21|345
213|45
2134|5
2|1354
21|354
213|54
2135|4
2|1435
21|435
214|35
2143|5
2|1453
21|453
214|53
2145|3
2|1534
21|534
215|34
2153|4
2|1543
21|543
215|43
2154|3
2|3145
23|145
231|45
2314|5
2|3154
23|154
231|54
2315|4
2|3415
23|415
234|15
2341|5
2|3451
23|451
234|51
2345|1
2|3514
23|514
235|14
2351|4
2|3541
23|541
235|41
2354|1
2|4135
24|135
241|35
2413|5
2|4153
24|153
241|53
2415|3
2|4315
24|315
243|15
2431|5
2|4351
24|351
243|51
2435|1
2|4513
24|513
245|13
2451|3
2|4531
24|531
245|31
2453|1
2|5134
25|134
251|34
2513|4
2|5143
25|143
251|43
2514|3
2|5314
25|314
253|14
2531|4
2|5341
25|341
253|41
2534|1
2|5413
25|413
254|13
2541|3
2|5431
25|431
254|31
2543|1
3|1245
31|245
312|45
3124|5
3|1254
31|254
312|54
3125|4
3|1425
31|425
314|25
3142|5
3|1452
31|452
314|52
3145|2
3|1524
31|524
315|24
3152|4
3|1542
31|542
315|42
3154|2
3|2145
32|145
321|45
3214|5
3|2154
32|154
321|54
3215|4
3|2415
32|415
324|15
3241|5
3|2451
32|451
324|51
3245|1
3|2514
32|514
325|14
3251|4
3|2541
32|541
325|41
3254|1
3|4125
34|125
341|25
3412|5
3|4152
34|152
341|52
3415|2
3|4215
34|215
342|15
3421|5
3|4251
34|251
342|51
3425|1
3|4512
34|512
345|12
3451|2
3|4521
34|521
345|21
3452|1
3|5124
35|124
351|24
3512|4
3|5142
35|142
351|42
3514|2
3|5214
35|214
352|14
3521|4
3|5241
35|241
352|41
3524|1
3|5412
35|412
354|12
3541|2
3|5421
35|421
354|21
3542|1
4|1235
41|235
412|35
4123|5
4|1253
41|253
412|53
4125|3
4|1325
41|325
413|25
4132|5
4|1352
41|352
413|52
4135|2
4|1523
41|523
415|23
4152|3
4|1532
41|532
415|32
4153|2
4|2135
42|135
421|35
4213|5
4|2153
42|153
421|53
4215|3
4|2315
42|315
423|15
4231|5
4|2351
42|351
423|51
4235|1
4|2513
42|513
425|13
4251|3
4|2531
42|531
425|31
4253|1
4|3125
43|125
431|25
4312|5
4|3152
43|152
431|52
4315|2
4|3215
43|215
432|15
4321|5
4|3251
43|251
432|51
4325|1
4|3512
43|512
435|12
4351|2
4|3521
43|521
435|21
4352|1
4|5123
45|123
451|23
4512|3
4|5132
45|132
451|32
4513|2
4|5213
45|213
452|13
4521|3
4|5231
45|231
452|31
4523|1
4|5312
45|312
453|12
4531|2
4|5321
45|321
453|21
4532|1
5|1234
51|234
512|34
5123|4
5|1243
51|243
512|43
5124|3
5|1324
51|324
513|24
5132|4
5|1342
51|342
513|42
5134|2
5|1423
51|423
514|23
5142|3
5|1432
51|432
514|32
5143|2
5|2134
52|134
521|34
5213|4
5|2143
52|143
521|43
5214|3
5|2314
52|314
523|14
5231|4
5|2341
52|341
523|41
5234|1
5|2413
52|413
524|13
5241|3
5|2431
52|431
524|31
5243|1
5|3124
53|124
531|24
5312|4
5|3142
53|142
531|42
5314|2
5|3214
53|214
532|14
5321|4
5|3241
53|241
532|41
5324|1
5|3412
53|412
534|12
5341|2
5|3421
53|421
534|21
5342|1
5|4123
54|123
541|23
5412|3
5|4132
54|132
541|32
5413|2
5|4213
54|213
542|13
5421|3
5|4231
54|231
542|31
5423|1
5|4312
54|312
543|12
5431|2
5|4321
54|321
543|21
5432|1
